threshold,calib_precision,final_precision,calib_recall,final_recall,calib_f1,final_f1,calib_far,final_far,calib_frr,final_frr,calib_coverage,final_coverage
tau=0.70,1.0,0.75,0.6666666666666666,0.631578947368421,0.8,0.6857142857142857,0.0,0.36363636363636365,0.3333333333333333,0.3684210526315789,0.4,0.5333333333333333
tau=0.65,0.8181818181818182,0.7391304347826086,1.0,0.8947368421052632,0.9,0.8095238095238095,0.3333333333333333,0.5454545454545454,0.0,0.10526315789473684,0.7333333333333333,0.7666666666666667
