mode,n,appropriate_answer_decision_n,correct_refusal_n,false_refusal_n,false_accept_n,appropriate_answer_decision_ids,correct_refusal_ids,false_refusal_ids,false_accept_ids
Mode B (Standard RAG),29,17,8,4,0,ADM-05;ADM-06;ADM-07;CPX-05;FAC-03;FAC-04;FEE-03;FEE-04;FEE-05;LDR-01;PLC-02;PLC-03;PLC-04;POL-01;PRG-03;PRG-04;PRG-05,LDR-04;OOD-02;OOD-03;OOD-06;OOD-07;OOD-08;OOD-09;POL-02,CPX-03;CPX-04;FAC-01;POL-04,
Mode C (Thresholded RAG),29,13,8,8,0,ADM-05;ADM-06;ADM-07;CPX-05;FAC-01;FEE-03;FEE-04;FEE-05;LDR-01;PLC-02;PLC-03;PRG-03;PRG-04,LDR-04;OOD-02;OOD-03;OOD-06;OOD-07;OOD-08;OOD-09;POL-02,CPX-03;CPX-04;FAC-03;FAC-04;PLC-04;POL-01;POL-04;PRG-05,
